,Name,Current,24h Peak,All-Time Peak,developer,publisher,original_price,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10,Genre11,Genre12,Genre13,PopTag1,PopTag2,PopTag3,PopTag4,PopTag5,PopTag6,PopTag7,PopTag8,PopTag9,PopTag10,PopTag11,PopTag12,PopTag13,PopTag14,PopTag15,PopTag16,PopTag17,PopTag18,PopTag19,PopTag20,_merge
114,Age of Empires IV: Anniversary Edition,"5,492","12,620","73,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
115,eFootball™ 2024,"5,465","12,961","21,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
116,Forza Horizon 5,"5,371","13,738","81,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
119,Legends of Idleon MMO,"5,214","6,984","9,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
122,Persona 5 Royal,"4,875","9,130","35,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
123,VTube Studio,"4,814","10,756","12,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
124,Brotato,"4,785","8,743","32,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
125,OBS Studio,"4,747","9,946","11,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
127,Crosshair X,"4,716","7,399","8,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
129,Vampire Survivors,"4,646","8,042","77,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
130,Summoners War: Chronicles,"4,533","6,848","38,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
131,Limbus Company,"4,456","6,419","30,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
132,Satisfactory,"4,455","9,690","34,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
133,Football Manager 2022,"4,443","9,857","88,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
135,Borderlands 3,"4,308","7,019","93,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
136,Battlefield 1 ™,"4,250","10,669","53,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
137,Assassin's Creed Odyssey,"4,211","9,273","62,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
142,Halo: The Master Chief Collection,"3,883","5,075","161,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
143,Hogwarts Legacy,"3,873","9,977","879,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
144,Aimlabs,"3,819","6,145","10,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
145,Divinity: Original Sin 2,"3,759","7,860","93,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
146,Fallout 76,"3,737","7,282","32,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
147,Warhaven,"3,657","6,626","10,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
149,Halo Infinite,"3,525","4,765","272,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
151,Assassin's Creed Unity,"3,452","7,229","12,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
152,NBA 2K24,"3,448","6,703","11,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
154,YoloMouse,"3,359","5,029","6,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
156,DAVE THE DIVER,"3,331","5,935","98,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
157,Madden NFL 24,"3,328","5,167","8,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
158,Dyson Sphere Program,"3,305","5,772","59,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
159,HoloCure - Save the Fans!,"3,277","4,955","46,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
161,依盖之书 book of yog,"3,262","3,262","4,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
162,It Takes Two,"3,236","17,449","32,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
163,The Texas Chain Saw Massacre,"3,222","4,270","17,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
164,People Playground,"3,217","7,425","15,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
165,鬼谷八荒 Tale of Immortal,"3,186","6,270","184,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
166,Magic: The Gathering Arena,"3,185","5,505","6,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
167,Sons Of The Forest,"3,165","7,499","414,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
168,World of Tanks Blitz,"3,156","12,377","56,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
169,Shop Titans,"3,142","4,784","7,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
170,Goose Goose Duck,"3,131","17,107","702,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
171,Hades,"3,108","4,994","37,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
172,Battlefield™ 2042,"3,003","6,684","105,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
173,Greed is Good Playtest,"2,979","4,848","4,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
174,Microsoft Flight Simulator,"2,964","6,793","61,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
175,小黑盒加速器,"2,962","5,249","11,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
176,Age of Empires III: Definitive Edition,"2,960","6,210","20,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
177,FIFA 22,"2,941","7,648","108,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
180,NGU IDLE,"2,913","3,772","8,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
181,Victoria 3,"2,888","5,693","70,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
183,Remnant II,"2,797","4,433","110,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
185,Total War: ROME II - Emperor Edition,"2,771","6,616","118,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
186,DEAD OR ALIVE Xtreme Venus Vacation,"2,768","5,877","11,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
187,Ori and the Will of the Wisps,"2,755","4,807","34,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
189,For Honor,"2,738","4,379","225,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
190,Sunkenland,"2,682","7,122","26,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
192,Forza Horizon 4,"2,659","7,831","40,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
193,STAR WARS™: The Old Republic™,"2,654","5,525","34,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
196,Grounded,"2,542","4,933","32,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
197,Stumble Guys,"2,476","13,268","43,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
198,MyDockFinder,"2,452","3,539","3,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
